id,target
0,528
1,793
2,845
3,1302
4,1396
5,1017
6,60
7,1066
8,1322
9,51
10,1151
11,111
12,144
13,41
14,35
15,76
16,421
17,675
18,286
19,15
20,317
21,274
22,1263
23,1078
24,33
25,1106
26,89
27,739
28,1231
29,1331
30,93
31,75
32,467
33,1079
34,433
35,56
36,1439
37,33
38,43
39,1277
40,1465
41,920
42,77
43,376
44,1674
45,1376
46,1069
47,435
48,427
49,1114
50,1001
51,301
52,849
53,67
54,1285
55,636
56,1558
57,299
58,165
59,1345
60,349
61,28
62,76
63,986
64,1314
65,52
66,30
67,970
68,1474
69,1733
70,490
71,19
72,44
73,1324
74,49
75,24
76,44
77,1185
78,30
79,377
80,52
81,1528
82,127
83,55
84,19
85,105
86,380
87,33
88,470
89,789
90,1363
91,38
92,1305
93,1397
94,766
95,865
96,1509
97,54
98,1443
99,942
100,58
101,699
102,245
103,1588
104,61
105,71
106,82
107,576
108,1031
109,33
110,1171
111,59
112,1229
113,1364
114,47
115,19
116,384
117,409
118,897
119,1281
120,283
121,48
122,920
123,142
124,621
125,32
126,1031
127,658
128,27
129,910
130,1351
131,1295
132,65
133,1924
134,1035
135,1549
136,1428
137,1071
138,1253
139,957
140,1014
141,1774
142,43
143,529
144,1193
145,31
146,20
147,79
148,569
149,186
150,1561
151,1412
152,405
153,757
154,61
155,1424
156,33
157,1394
158,212
159,784
160,1509
161,472
162,5
163,43
164,1282
165,65
166,86
167,214
168,64
169,1590
170,304
171,159
172,1174
173,88
174,452
175,215
176,70
177,530
178,1241
179,1097
180,17
181,1582
182,97
183,49
184,64
185,2010
186,1408
187,1223
188,1171
189,38
190,31
191,39
192,210
193,280
194,1065
195,718
196,685
197,1161
198,44
199,124
200,33
201,131
202,1820
203,891
204,43
205,91
206,20
207,1149
208,1790
209,12
210,1334
211,35
212,1075
213,1042
214,596
215,1037
216,22
217,65
218,144
219,344
220,656
221,732
222,321
223,38
224,40
225,587
226,939
227,379
228,127
229,1915
230,1186
231,553
232,169
233,405
234,22
235,435
236,13
237,1150
238,571
239,328
240,1620
241,311
242,90
243,24
244,287
245,31
246,995
247,438
248,31
249,61
250,100
251,111
252,104
253,1227
254,466
255,62
256,1035
257,1097
258,236
259,1345
260,29
261,687
262,564
263,48
264,848
265,165
266,193
267,1155
268,642
269,76
270,776
271,1450
272,525
273,362
274,35
275,61
276,168
277,1120
278,75
279,1221
280,265
281,1493
282,80
283,245
284,278
285,1451
286,157
287,303
288,607
289,1673
290,70
291,1451
292,52
293,981
294,256
295,91
296,1279
297,1454
298,508
299,86
300,1774
301,1715
302,1663
303,61
304,1547
305,349
306,1694
307,19
308,644
309,1185
310,327
311,958
312,58
313,49
314,848
315,1198
316,1653
317,1814
318,62
319,106
320,127
321,1705
322,234
323,561
324,110
325,79
326,362
327,938
328,34
329,40
330,62
331,309
332,1336
333,90
334,61
335,44
336,250
337,836
338,1154
339,345
340,1596
341,56
342,156
343,73
344,821
345,1457
346,1485
347,877
348,173
349,1419
350,95
351,98
352,51
353,123
354,887
355,80
356,324
357,944
358,456
359,1706
360,80
361,1371
362,53
363,742
364,74
365,1840
366,617
367,908
368,278
369,733
370,1528
371,907
372,938
373,67
374,135
375,49
376,246
377,35
378,931
379,27
380,18
381,827
382,1209
383,569
384,1512
385,849
386,972
387,1648
388,1724
389,1017
390,455
391,124
392,55
393,709
394,408
395,27
396,202
397,998
398,1041
399,256
400,27
401,1501
402,58
403,988
404,158
405,1098
406,22
407,170
408,1055
409,910
410,610
411,1097
412,46
413,22
414,1611
415,282
416,1246
417,1407
418,40
419,1555
420,100
421,1079
422,33
423,1201
424,133
425,1273
426,336
427,159
428,1596
429,48
430,1385
431,30
432,183
433,394
434,1257
435,48
436,53
437,52
438,628
439,38
440,1188
441,102
442,48
443,98
444,93
445,1475
446,1487
447,1487
448,1579
449,767
450,551
451,126
452,1284
453,21
454,1290
455,1646
456,254
457,1698
458,233
459,402
460,1602
461,609
462,30
463,187
464,386
465,28
466,958
467,152
468,1233
469,1352
470,1593
471,1556
472,77
473,107
474,93
475,855
476,141
477,1664
478,58
479,52
480,215
481,1701
482,62
483,1174
484,1432
485,1257
486,1381
487,876
488,784
489,413
490,1423
491,467
492,851
493,267
494,40
495,1177
496,125
497,91
498,133
499,61
500,1554
501,1065
502,507
503,1085
504,38
505,904
506,1170
507,25
508,202
509,89
510,762
511,113
512,58
513,32
514,275
515,1582
516,89
517,1285
518,1277
519,579
520,23
521,273
522,40
523,313
524,127
525,160
526,74
527,57
528,164
529,1457
530,1142
531,1591
532,973
533,84
534,205
535,98
536,29
537,46
538,892
539,1385
540,685
541,82
542,340
543,55
544,250
545,318
546,286
547,603
548,1003
549,39
550,1582
551,389
552,1240
553,445
554,1607
555,1138
556,1558
557,1381
558,229
559,441
560,1591
561,1619
562,893
563,967
564,642
565,19
566,217
567,842
568,1074
569,1440
570,658
571,281
572,96
573,796
574,554
575,38
576,110
577,43
578,1267
579,983
580,62
581,18
582,16
583,42
584,348
585,288
586,441
587,42
588,988
589,431
590,1036
591,55
592,946
593,347
594,164
595,294
596,752
597,355
598,61
599,996
600,1446
601,1257
602,52
603,1252
604,51
605,94
606,46
607,104
608,37
609,63
610,388
611,419
612,1663
613,1409
614,72
615,1131
616,401
617,493
618,729
619,85
620,372
621,1092
622,52
623,804
624,72
625,62
626,800
627,133
628,58
629,67
630,415
631,487
632,557
633,325
634,745
635,683
636,46
637,21
638,416
639,1611
640,32
641,55
642,632
643,31
644,1185
645,85
646,345
647,968
648,1554
649,1438
650,1036
651,104
652,289
653,1058
654,50
655,211
656,761
657,36
658,509
659,52
660,19
661,73
662,436
663,1225
664,1486
665,856
666,595
667,511
668,40
669,678
670,1188
671,141
672,470
673,395
674,76
675,1396
676,353
677,59
678,676
679,616
680,96
681,875
682,227
683,94
684,1614
685,49
686,386
687,302
688,1296
689,962
690,493
691,111
692,1070
693,60
694,44
695,1870
696,1652
697,1461
698,1513
699,27
700,581
701,50
702,90
703,68
704,1479
705,363
706,56
707,157
708,1336
709,243
710,21
711,286
712,95
713,202
714,1552
715,619
716,45
717,654
718,63
719,1397
720,915
721,1292
722,716
723,93
724,31
725,644
726,35
727,175
728,1177
729,33
730,52
731,40
732,96
733,1118
734,232
735,97
736,1041
737,98
738,468
739,125
740,889
741,682
742,50
743,16
744,240
745,741
746,99
747,1558
748,191
749,40
750,561
751,724
752,477
753,34
754,92
755,935
756,269
757,344
758,758
759,1401
760,211
761,1031
762,1313
763,18
764,194
765,19
766,1431
767,348
768,42
769,277
770,925
771,72
772,292
773,1486
774,288
775,42
776,29
777,1333
778,1226
779,44
780,1961
781,908
782,37
783,88
784,37
785,1382
786,112
787,1674
788,963
789,132
790,62
791,173
792,53
793,61
794,213
795,974
796,74
797,406
798,1250
799,37
800,125
801,247
802,570
803,661
804,1472
805,52
806,95
807,71
808,50
809,36
810,41
811,43
812,26
813,1232
814,501
815,1273
816,890
817,87
818,286
819,58
820,784
821,1590
822,77
823,36
824,494
825,28
826,1367
827,176
828,1273
829,622
830,908
831,1206
832,1194
833,1445
834,849
835,92
836,429
837,1013
838,46
839,1266
840,1178
841,999
842,1707
843,916
844,79
845,2052
846,90
847,1580
848,117
849,340
850,960
851,66
852,19
853,554
854,278
855,515
856,1429
857,128
858,1197
859,1480
860,111
861,1753
862,52
863,434
864,505
865,71
866,1432
867,1037
868,320
869,57
870,452
871,895
872,1068
873,85
874,1116
875,295
876,1457
877,41
878,43
879,1833
880,62
881,303
882,116
883,1079
884,879
885,1339
886,958
887,53
888,199
889,55
890,237
891,165
892,56
893,743
894,1374
895,312
896,42
897,41
898,58
899,1213
900,12
901,55
902,62
903,41
904,25
905,37
906,21
907,879
908,94
909,62
910,1481
911,467
912,83
913,55
914,240
915,1050
916,550
917,954
918,75
919,63
920,61
921,652
922,1050
923,522
924,171
925,82
926,1225
927,16
928,897
929,1273
930,14
931,36
932,1607
933,62
934,79
935,88
936,91
937,49
938,1266
939,86
940,93
941,181
942,1334
943,1703
944,1029
945,1594
946,1661
947,159
948,32
949,58
950,1408
951,1200
952,216
953,1029
954,890
955,710
956,95
957,457
958,1048
959,1332
960,1756
961,79
962,46
963,320
964,29
965,42
966,55
967,970
968,977
969,1336
970,1191
971,26
972,664
973,884
974,42
975,27
976,61
977,148
978,570
979,27
980,1519
981,24
982,907
983,750
984,124
985,18
986,429
987,59
988,889
989,39
990,1178
991,39
992,29
993,132
994,76
995,69
996,1782
997,1042
998,110
999,450
1000,1400
1001,1807
1002,1431
1003,41
1004,570
1005,58
1006,1206
1007,1024
1008,1094
1009,60
1010,694
1011,794
1012,1588
1013,55
1014,317
1015,841
1016,30
1017,61
1018,1305
1019,17
1020,1629
1021,56
1022,1962
1023,558
1024,1808
