iter	Passed	Remaining
0	3	3762
1	6	3664
2	9	3747
3	12	3681
4	15	3670
5	18	3602
6	21	3596
7	24	3585
8	26	3558
9	28	3441
10	30	3327
11	32	3232
12	34	3159
13	36	3095
14	38	3029
15	40	2993
16	42	2952
17	45	2957
18	57	3594
19	59	3537
20	61	3478
21	64	3446
22	66	3393
23	69	3386
24	72	3392
25	75	3388
26	78	3420
27	81	3403
28	84	3394
29	86	3377
30	90	3400
31	93	3414
32	101	3574
33	103	3534
34	105	3497
35	107	3479
36	110	3469
37	113	3484
38	116	3476
39	120	3495
40	123	3499
41	132	3648
42	134	3624
43	136	3592
44	137	3541
45	139	3509
46	141	3473
47	143	3443
48	145	3408
49	146	3377
50	148	3345
51	150	3318
52	151	3285
53	153	3256
54	155	3229
55	156	3205
56	158	3178
57	160	3154
58	161	3128
59	163	3108
60	165	3086
61	166	3063
62	168	3041
63	170	3019
64	171	3002
65	173	2986
66	175	2967
67	177	2946
68	177	2909
69	179	2890
70	180	2873
71	182	2857
72	184	2841
73	185	2828
74	187	2813
75	189	2797
76	190	2781
77	192	2765
78	194	2753
79	195	2738
80	197	2724
81	199	2715
82	200	2702
83	201	2675
84	203	2663
85	204	2651
86	206	2638
87	207	2628
88	209	2616
89	211	2605
90	212	2595
91	214	2584
92	216	2575
93	218	2565
94	219	2556
95	221	2546
96	223	2536
97	224	2528
98	226	2519
99	228	2510
100	230	2503
101	231	2494
102	233	2487
103	235	2478
104	236	2469
105	238	2460
106	239	2451
107	241	2445
108	243	2436
109	245	2429
110	246	2422
111	248	2414
112	250	2408
113	252	2401
114	253	2395
115	255	2387
116	257	2379
117	258	2372
118	260	2365
119	262	2358
120	263	2352
121	265	2344
122	267	2337
123	268	2330
124	270	2323
125	271	2316
126	273	2312
127	275	2305
128	276	2298
129	279	2299
130	281	2293
131	282	2287
132	284	2280
133	286	2275
134	287	2271
135	289	2266
136	291	2260
137	292	2254
138	294	2248
139	296	2243
140	298	2238
141	299	2232
142	301	2227
143	302	2220
144	304	2215
145	306	2209
146	307	2204
147	309	2198
148	310	2193
149	312	2188
150	314	2182
151	316	2178
152	317	2173
153	319	2168
154	321	2165
155	322	2160
156	324	2156
157	326	2151
158	328	2147
159	329	2143
160	331	2138
161	333	2135
162	335	2131
163	336	2127
164	338	2123
165	340	2118
166	341	2114
167	343	2109
168	345	2104
169	346	2100
170	348	2095
171	349	2091
172	351	2087
173	353	2083
174	355	2079
175	356	2074
176	358	2070
177	359	2065
178	361	2061
179	363	2057
180	364	2052
181	366	2047
182	367	2043
183	369	2040
184	371	2035
185	372	2032
186	374	2027
187	375	2023
188	377	2020
189	379	2016
190	381	2012
191	382	2008
192	384	2004
193	385	2000
194	387	1996
195	387	1987
196	390	1988
197	392	1984
198	393	1981
199	395	1977
200	397	1975
201	399	1972
202	400	1968
203	402	1965
204	404	1961
205	405	1957
206	407	1954
207	409	1952
208	410	1948
209	412	1944
210	414	1941
211	415	1937
212	417	1933
213	419	1931
214	420	1927
215	422	1924
216	424	1921
217	426	1918
218	427	1916
219	429	1913
220	431	1909
221	432	1905
222	434	1902
223	435	1899
224	437	1896
225	439	1893
226	441	1891
227	443	1888
228	444	1885
229	446	1881
230	447	1879
231	449	1875
232	451	1872
233	452	1869
234	454	1865
235	455	1862
236	457	1859
237	459	1856
238	460	1853
239	462	1851
240	464	1848
241	466	1845
242	467	1841
243	469	1838
244	470	1835
245	472	1832
246	474	1830
247	476	1828
248	477	1825
249	479	1821
250	481	1819
251	482	1816
252	484	1813
253	486	1810
254	487	1807
255	489	1804
256	490	1801
257	492	1798
258	494	1795
259	495	1792
260	497	1789
261	499	1786
262	500	1784
263	502	1781
264	504	1778
265	505	1775
266	507	1773
267	509	1770
268	510	1767
269	512	1764
270	513	1761
271	515	1759
272	517	1757
273	519	1754
274	520	1751
275	522	1748
276	524	1746
277	525	1743
278	527	1740
279	528	1737
280	530	1734
281	532	1732
282	533	1729
283	535	1727
284	537	1724
285	538	1722
286	540	1719
287	542	1716
288	544	1714
289	545	1712
290	547	1709
291	548	1706
292	550	1704
293	552	1702
294	553	1699
295	555	1696
296	557	1693
297	558	1691
298	560	1688
299	562	1686
300	563	1683
301	565	1681
302	567	1678
303	568	1676
304	570	1673
305	572	1671
306	573	1668
307	575	1666
308	576	1663
309	578	1661
310	580	1658
311	581	1655
312	583	1653
313	584	1650
314	586	1648
315	588	1645
316	590	1643
317	591	1641
318	593	1639
319	595	1637
320	597	1635
321	598	1632
322	600	1630
323	601	1627
324	603	1624
325	605	1622
326	606	1620
327	608	1617
328	610	1615
329	611	1612
330	613	1610
331	615	1608
332	616	1605
333	618	1602
334	619	1600
335	621	1597
336	622	1595
337	624	1592
338	626	1590
339	628	1588
340	629	1586
341	631	1584
342	632	1581
343	634	1579
344	636	1577
345	638	1574
346	639	1572
347	641	1570
348	643	1567
349	644	1565
350	646	1563
351	647	1561
352	649	1558
353	651	1556
354	652	1553
355	654	1551
356	655	1548
357	657	1546
358	659	1544
359	660	1541
360	662	1539
361	663	1536
362	665	1534
363	667	1532
364	668	1529
365	670	1527
366	672	1525
