N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"68,700","1,700",+2.54%,100,"4,101,241","5,969,783",51.30,"17,333,695",11.89,13.92,
2,LG에너지솔루션,"431,000","20,000",+4.87%,500,"1,008,540","234,000",3.06,"385,020",108.76,10.68,
3,SK하이닉스,"113,000","2,000",+1.80%,"5,000","822,643","728,002",50.01,"2,458,822",8.57,16.84,
4,삼성바이오로직스,"808,000","18,000",+2.28%,"2,500","534,613","66,165",10.53,"44,369",137.46,8.21,
5,NAVER,"310,500","2,000",+0.65%,100,"509,372","164,049",54.50,"516,800",3.09,106.72,
6,삼성전자우,"61,500","1,000",+1.65%,100,"506,075","822,887",73.15,"1,092,602",10.65,N/A,
7,카카오,"95,800","1,700",+1.81%,100,"427,527","446,270",28.94,"1,399,042",30.59,17.10,
8,삼성SDI,"599,000","22,000",+3.81%,"5,000","411,900","68,765",43.31,"362,011",36.04,8.45,
9,현대차,"181,000","3,000",+1.69%,"5,000","386,739","213,668",26.57,"495,704",10.14,6.84,
10,LG화학,"518,000","13,000",+2.57%,"5,000","365,668","70,592",48.57,"89,453",11.05,18.47,
11,기아,"77,900","1,100",+1.43%,"5,000","315,778","405,363",34.35,"1,143,538",6.63,14.69,
12,POSCO홀딩스,"285,500","3,500",+1.24%,"5,000","248,918","87,187",52.71,"128,030",3.76,13.97,
13,KB금융,"59,700",100,+0.17%,"5,000","246,174","412,352",72.80,"797,211",5.63,9.80,
14,셀트리온,"164,500","3,500",+2.17%,"1,000","226,937","137,956",19.12,"234,081",40.21,15.81,
15,카카오뱅크,"46,850","1,550",+3.42%,"5,000","222,612","475,159",15.99,"791,934",100.32,4.91,
16,신한지주,"40,450",500,-1.22%,"5,000","208,965","516,600",62.04,"1,147,542",5.37,8.80,
17,LG전자,"127,000","4,500",+3.67%,"5,000","207,833","163,648",27.95,"1,611,230",22.26,6.32,
18,삼성물산,"110,500","2,000",+1.84%,100,"206,510","186,887",15.57,"203,007",12.74,5.40,
19,현대모비스,"210,000","3,500",+1.69%,"5,000","198,603","94,573",34.09,"148,121",8.46,6.87,
20,SK이노베이션,"206,000","5,500",+2.74%,"5,000","190,479","92,466",23.51,"310,622",63.38,1.91,
21,SK,"248,500","4,500",+1.84%,200,"184,261","74,149",21.65,"70,472",8.99,10.19,
22,카카오페이,"134,000","1,500",+1.13%,500,"177,468","132,439",42.57,"184,520",-676.77,-2.45,
23,한국전력,"22,100",500,+2.31%,"5,000","141,874","641,964",14.65,"932,254",-2.67,-7.99,
24,하나금융지주,"47,200",300,+0.64%,"5,000","141,714","300,242",71.15,"681,287",4.02,10.86,
25,LG생활건강,"890,000","8,000",+0.91%,"5,000","139,002","15,618",40.58,"25,858",18.67,16.65,
26,SK텔레콤,"61,500","1,000",-1.60%,100,"134,582","218,833",46.55,"633,191",8.99,13.63,
27,크래프톤,"267,500",500,+0.19%,100,"131,268","49,072",28.86,"143,111",23.38,17.86,
28,삼성생명,"65,500",0,0.00%,500,"131,000","200,000",12.86,"187,612",8.92,4.01,
29,HMM,"26,750",150,+0.56%,"5,000","130,818","489,039",10.27,"2,476,178",1.94,88.62,
30,두산중공업,"20,750",650,+3.23%,"5,000","127,903","616,402",8.50,"3,751,005",20.22,10.67,
31,하이브,"301,500","18,000",+6.35%,500,"124,680","41,353",15.37,"317,658",83.61,6.83,
32,현대중공업,"136,500","7,000",+5.41%,"5,000","121,175","88,773",4.00,"383,186",-12.80,-14.87,
33,삼성전기,"160,000","5,000",+3.23%,"5,000","119,510","74,694",28.63,"393,818",13.91,14.29,
34,고려아연,"625,000","8,000",+1.30%,"5,000","117,938","18,870",20.00,"29,470",14.62,11.07,
35,LG,"74,800","1,900",+2.61%,"5,000","117,661","157,301",36.47,"118,848",4.83,12.36,
36,S-Oil,"104,500","4,500",+4.50%,"2,500","117,649","112,583",79.25,"574,846",8.84,21.76,
37,KT&G,"82,000",0,0.00%,"5,000","112,580","137,292",37.29,"165,344",11.52,10.74,
38,우리금융지주,"15,300",150,-0.97%,"5,000","111,393","728,061",35.31,"1,487,251",4.28,10.59,
39,대한항공,"31,300",150,+0.48%,"5,000","108,868","347,821",13.51,"1,510,043",16.43,11.60,
40,삼성에스디에스,"138,000","2,000",+1.47%,500,"106,781","77,378",12.78,"113,794",17.47,8.80,
41,SK바이오사이언스,"138,500","2,500",+1.84%,500,"106,091","76,600",5.17,"172,314",28.69,38.08,
42,삼성화재,"216,500",0,0.00%,500,"102,567","47,375",48.81,"81,783",9.76,7.09,
43,엔씨소프트,"458,500",500,+0.11%,500,"100,659","21,954",42.02,"62,836",25.36,12.62,
44,포스코케미칼,"127,000","1,000",+0.79%,500,"98,378","77,463",6.16,"294,994",72.04,7.92,
45,아모레퍼시픽,"161,500","3,500",+2.22%,500,"94,466","58,493",27.07,"258,009",57.56,4.20,
46,KT,"35,950",50,-0.14%,"5,000","93,870","261,112",41.75,"1,279,296",6.92,9.36,
47,넷마블,"104,500","2,000",+1.95%,100,"89,821","85,954",22.88,"110,878",37.39,4.29,
48,SK아이이테크놀로지,"124,500","1,500",-1.19%,"1,000","88,766","71,298",9.72,"175,358",89.38,5.57,
49,LG이노텍,"373,500","4,000",+1.08%,"5,000","88,397","23,667",25.80,"264,751",9.95,30.94,
50,기업은행,"11,150",50,-0.45%,"5,000","82,990","744,301",14.62,"1,095,537",3.68,9.21,
51,SK스퀘어,"57,000","1,600",+2.89%,100,"80,637","141,468",39.60,"442,278",3.53,N/A,
52,현대글로비스,"198,500","6,500",+3.39%,500,"74,438","37,500",44.03,"221,254",9.51,14.41,
