순위,책제목,저자,출판사,가격
1,파친코 1 ,"이민진, 이미정",문학사상,"13,050원"
2,파친코 2 ,"이민진, 이미정",문학사상,"13,050원"
3,2022 제13회 젊은작가상 수상작품집  ,"임솔아, 김멜라, 김병운, 김지연, 김혜진, 서수진, 서이제",문학동네,"6,930원"
4,가불 선진국 ,조국,메디치미디어,"14,400원"
5,얼굴만으론 좋아할 수 없어요 3 ,"안자이 카린, 이소연",서울미디어코믹스(서울문화사),"4,950원"
6,가라오케 가자!  ,"와야마 야마, 현승희",문학동네,"7,650원"
7,불편한 편의점 (40만부 기념 벚꽃 에디션) ,김호연,나무옆의자,"12,600원"
8,물고기는 존재하지 않는다  ,"룰루 밀러, 정지인",곰출판,"15,300원"
9,3월의 라이온 16  ,"우미노 치카, 서현아",시리얼(학산문화사),"7,200원"
10,위대한 국민의 나라 ,문재인 대통령 비서실,한즈미디어(한스미디어),"18,000원"
11,저주토끼 (리커버)  ,정보라,아작,"13,320원"
12,꽃샘바람에 흔들린다면 너는 꽃  ,류시화,수오서재,"12,150원"
13,그 해 우리는 포토 에세이 ,스튜디오S,김영사,"29,700원"
14,아무도 흔들 수 없는 나라 ,"문재인, 대통령 비서실",김영사,"18,000원"
15,웰씽킹 WEALTHINKING (10만 부 기념 한정판 골드 에디션) ,켈리 최,다산북스,"14,400원"
16,이어령의 마지막 수업 ,"김지수, 이어령",열림원,"14,850원"
17,운명을 바꾸는 부동산 투자 수업 : 기초편 ㅣ 운명을 바꾸는 부동산 투자 수업  ,부동산읽어주는남자(정태익),리더스북,"15,120원"
18,오리 부리 이야기 ㅣ 난 책읽기가 좋아  ,"황선애, 간장",비룡소,"9,900원"
19,김학렬의 부동산 투자 절대 원칙 ,김학렬(빠숑),에프엔미디어,"22,500원"
20,143층 나무 집 ㅣ 456 Book 클럽  ,"앤디 그리피스, 테리 덴톤, 신수진",시공주니어,"10,800원"
21,지리의 힘 2 ㅣ 지리의 힘 2 ,"팀 마샬, 김미선",사이,"20,700원"
22,거의 모든 행동 표현의 영어 ,서영조,사람in,"14,400원"
23,10배의 법칙  ,"그랜트 카돈, 최은아",부키,"15,120원"
24,여름이 온다 ㅣ 비룡소의 그림동화 297  ,이수지,비룡소,"24,300원"
25,그림들  ,SUN 도슨트,나무의마음,"17,820원"
26,나의 아저씨 1~2 세트 - 전2권 ㅣ 인생드라마 작품집 시리즈  ,박해영,세계사,"44,640원"
27,"어서 오세요, 휴남동 서점입니다 ",황보름,클레이하우스,"13,500원"
28,마음의 법칙 ,"폴커 키츠, 마누엘 투쉬, 김희상",포레스트북스,"14,400원"
29,도파민네이션 ,"애나 렘키, 김두완",흐름출판,"16,200원"
30,운명을 바꾸는 부동산 투자 수업 : 실전편 ㅣ 운명을 바꾸는 부동산 투자 수업  ,부동산읽어주는남자(정태익),리더스북,"15,120원"
31,"아무튼, 노래 ㅣ 아무튼 시리즈 49 ",이슬아,위고,"10,800원"
32,원피스 101  ,오다 에이치로,대원씨아이(만화),"4,950원"
33,전생했더니 슬라임이었던 건에 대하여 19 ,"후세, 밋츠바, 도영명",㈜소미미디어,"9,900원"
